City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
324,branford center,41.2774,-72.8151,286.46,70,100,4.92,US,1731284683
325,piton saint-leu,-21.2196,55.3151,295.21,69,0,1.54,RE,1731284685
326,rongelap,11.1635,166.8941,301.4,77,25,8.94,MH,1731284686
327,umraniye,41.0164,29.1248,284.84,86,100,3.45,TR,1731284687
328,richards bay,-28.783,32.0377,293.16,94,100,2.12,ZA,1731284688
329,senillosa,-39.0,-68.4167,291.03,29,56,11.71,AR,1731284689
330,pacific grove,36.6177,-121.9166,291.68,64,0,2.57,US,1731284690
331,marsh harbour,26.5412,-77.0636,298.52,85,98,10.02,BS,1731284692
332,kharp,66.8014,65.8081,255.35,91,57,4.58,RU,1731284693
333,nelson bay,-32.7167,152.15,296.48,69,84,2.24,AU,1731284694
334,maceio,-9.6658,-35.7353,297.84,88,0,4.63,BR,1731284695
335,kiffa,16.6166,-11.4045,299.5,13,9,4.34,MR,1731284696
336,vadso,70.0744,29.7487,276.24,87,100,1.03,NO,1731284698
337,la ronge,55.1001,-105.2842,275.29,75,0,1.54,CA,1731284699
338,aleg,17.0481,-13.9209,301.03,13,5,4.01,MR,1731284700
339,nagar karnul,16.4821,78.3247,293.01,66,93,3.42,IN,1731284701
340,labasa,-16.4167,179.3833,299.5,79,95,3.86,FJ,1731284702
341,simav,39.0882,28.9777,278.56,84,100,2.31,TR,1731284704
342,lazaro cardenas,17.9583,-102.2,300.93,78,38,3.88,MX,1731284705
343,kribi,2.95,9.9167,298.29,84,48,1.14,CM,1731284706
344,dzhalagash,45.0833,64.6667,280.81,78,98,7.21,KZ,1731284707
345,khilok,51.3674,110.4676,260.3,99,94,1.0,RU,1731284708
346,ola,59.5833,151.2833,264.5,71,100,10.36,RU,1731284710
347,bumba,2.1833,22.4667,293.71,96,96,0.26,CD,1731284711
348,conduaga,8.862,117.4893,301.02,80,91,0.86,PH,1731284712
349,nilsia,63.2,28.0833,270.07,87,99,2.11,FI,1731284713
350,trincomalee,8.5711,81.2335,300.26,76,51,3.62,LK,1731284714
351,al hamul,31.3115,31.1477,289.7,75,0,3.48,EG,1731284716
352,island harbour,50.724,-1.2758,287.03,74,49,0.45,GB,1731284717
353,kone,-21.0595,164.8658,304.79,37,28,3.24,NC,1731284718
354,huangmei,30.1924,116.025,291.42,72,0,2.82,CN,1731284720
355,ambodifotatra,-16.9833,49.85,298.9,82,12,3.68,MG,1731284722
356,ati,13.2154,18.3353,298.57,21,98,6.45,TD,1731284723
357,barakani,-12.1356,44.4317,298.98,79,15,1.12,KM,1731284724
358,binzhou,37.3667,118.0167,287.51,80,100,0.58,CN,1731284725
359,el abiodh sidi cheikh,32.893,0.5484,286.74,69,21,6.03,DZ,1731284726
360,trairi,-3.2778,-39.2689,298.69,79,71,5.36,BR,1731284728
361,cockburn town,21.4612,-71.1419,300.44,79,100,8.52,TC,1731284729
362,taoudenni,22.6783,-3.9836,298.12,21,39,4.41,ML,1731284731
